"filename", "language", "JSON", "Markdown", "toml", "Python", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/Overlay.js", "JavaScript", 0, 0, 0, 0, 0, 51, 0, 0, 1, 2, 54
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/PodcastSet.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/SearchBar.js", "JavaScript", 0, 0, 0, 0, 0, 109, 0, 0, 18, 8, 135
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/WatchExperience.js", "JavaScript", 0, 0, 0, 0, 0, 129, 0, 0, 2, 2, 133
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/WatchMedia.js", "JavaScript", 0, 0, 0, 0, 0, 101, 0, 0, 0, 3, 104
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/WatchMediaNav.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/WatchOverlay.js", "JavaScript", 0, 0, 0, 0, 0, 233, 0, 0, 4, 6, 243
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/frontend/src/view/index.js", "JavaScript", 0, 0, 0, 0, 0, 126, 0, 0, 0, 5, 131
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/how_to.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 21
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/Pipfile", "toml", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/Pipfile.lock", "JSON", 102, 0, 0, 0, 0, 0, 0, 0, 0, 1, 103
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/admin.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/apps.py", "Python", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/authorisation.py", "Python", 0, 0, 0, 49, 0, 0, 0, 0, 5, 4, 58
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/constants.py", "Python", 0, 0, 0, 162, 0, 0, 0, 0, 0, 6, 168
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/data/featuredPlaylists.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/data/newMusic.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/data/watchTrending.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/definitions.py", "Python", 0, 0, 0, 185, 0, 0, 0, 0, 5, 29, 219
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/get_categories.py", "Python", 0, 0, 0, 501, 0, 0, 0, 0, 9, 41, 551
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/just_watch.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 7, 9, 33
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/migrations/0001_initial.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 1, 7, 25
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/models.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 1, 4, 11
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/reviews.py", "Python", 0, 0, 0, 136, 0, 0, 0, 0, 48, 48, 232
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/search_data.py", "Python", 0, 0, 0, 221, 0, 0, 0, 0, 2, 16, 239
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/serializers.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/spotify.py", "Python", 0, 0, 0, 467, 0, 0, 0, 0, 0, 5, 472
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/stats.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 1, 6, 17
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/templates/api/index.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/tests.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/urls.py", "Python", 0, 0, 0, 32, 0, 0, 0, 0, 1, 2, 35
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/api/views.py", "Python", 0, 0, 0, 140, 0, 0, 0, 0, 2, 46, 188
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/core/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/core/asgi.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 8, 5, 17
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/core/settings.py", "Python", 0, 0, 0, 76, 0, 0, 0, 0, 25, 32, 133
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/core/urls.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 15, 3, 24
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/core/wsgi.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 8, 5, 17
"/Users/adikishore/Documents/University/Team-100/SourceCode_and_Documentation/server/manage.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 2, 5, 22
"/Users/adikishore/Documents/University/Team-100/package-lock.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 15847, 22, 12, 2059, 29, 2603, 31, 1062, 272, 602, 22539
